id,name,known_name,gender,birth_date,birth_city,birth_country,death_date,death_city,death_country,prize_number,year,category,share,motivation,prize_amount,prize_amount_adjusted,sort_order
460,Ferid Murad,Ferid Murad,male,1936-09-14,"Whiting, IN",USA,2023-09-04,"Menlo Park, CL",USA,1,1998,Physiology or Medicine,,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,7600000,12283299,3
786,Finn E. Kydland,Finn E. Kydland,male,1943-12-01,Gjesdal,Norway,,,,1,2004,Economic Sciences,,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,10000000,14874529,1
963,Frances H. Arnold,Frances H. Arnold,female,1956-07-25,"Pittsburgh, PA",USA,,,,1,2018,Chemistry,,for the directed evolution of enzymes,9000000,11380800,1
372,Francis Harry Compton Crick,Francis Crick,male,1916-06-08,Northampton,United Kingdom,2004-07-28,"San Diego, CA",USA,1,1962,Physiology or Medicine,,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,3587462,1
180,Francis William Aston,Francis W. Aston,male,1877-09-01,Harborne,United Kingdom,1945-11-20,Cambridge,United Kingdom,1,1922,Chemistry,,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",122483,3978181,1
699,Franco Modigliani,Franco Modigliani,male,1918-06-18,Rome,Italy,2003-09-25,"Cambridge, MA",USA,1,1985,Economic Sciences,,for his pioneering analyses of saving and of financial markets,1800000,4860820,1
887,François Englert,François Englert,male,1932-11-06,Etterbeek,Belgium,,,,1,2013,Physics,,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",8000000,10578918,1
380,François Jacob,François Jacob,male,1920-06-17,Nancy,France,2013-04-19,Paris,France,1,1965,Physiology or Medicine,,for their discoveries concerning genetic control of enzyme and virus synthesis,282000,3519063,1
623,François Mauriac,François Mauriac,male,1885-10-11,Bordeaux,France,1970-09-01,Paris,France,1,1952,Literature,,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,171135,3220326,1
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,female,1947-07-30,Paris,France,,,,1,2008,Physiology or Medicine,,for their discovery of human immunodeficiency virus,10000000,13817016,2
494,Frank Billings Kellogg,Frank B. Kellogg,male,1856-12-22,"Potsdam, NY",USA,1937-12-21,"St. Paul, MN",USA,1,1929,Peace,,for his crucial role in bringing about the Briand-Kellogg Pact,172760,6206272,1
778,Frank Wilczek,Frank Wilczek,male,1951-05-15,"New York, NY",USA,,,,1,2004,Physics,,for the discovery of asymptotic freedom in the theory of the strong interaction,10000000,14874529,3
613,Frans Eemil Sillanpää,Frans Eemil Sillanpää,male,1888-09-16,Hämeenkyrö,Russian Empire,1964-06-03,Helsinki,Finland,1,1939,Literature,,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,148822,5346318,1
1048,Frederick J. Ramsdell,Fred Ramsdell,male,1960-12-04,"Elmhurst, IL",USA,,,,1,2025,Physiology or Medicine,,for their discoveries concerning peripheral immune tolerance,11000000,11000000,2
193,Frédéric Joliot,Frédéric Joliot,male,1900-03-19,Paris,France,1958-08-14,Paris,France,1,1935,Chemistry,,in recognition of their synthesis of new radioactive elements,159917,6319387,1
573,Frédéric Mistral,Frédéric Mistral,male,1830-09-08,Maillane,France,1914-03-25,Maillane,France,1,1904,Literature,,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",140859,9822844,1
463,Frédéric Passy,Frédéric Passy,male,1822-05-20,Paris,France,1912-06-12,Paris,France,1,1901,Peace,,"for his lifelong work for international peace conferences, diplomacy and arbitration",150782,10833458,2
358,Frederick Chapman Robbins,Frederick C. Robbins,male,1916-08-25,"Auburn, AL",USA,2003-08-04,"Cleveland, OH",USA,1,1954,Physiology or Medicine,,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,181647,3338644,3
313,Frederick Grant Banting,Frederick G. Banting,male,1891-11-14,Alliston,Canada,1941-02-21,Newfoundland,Canada,1,1923,Physiology or Medicine,,for the discovery of insulin,114935,4007513,1
148,Frederick Reines,Frederick Reines,male,1918-03-16,"Paterson, NJ",USA,1998-08-26,"Orange, CA",USA,1,1995,Physics,,for the detection of the neutrino,7200000,11732784,2
222,Frederick Sanger,Frederick Sanger,male,1918-08-13,Rendcombe,United Kingdom,2013-11-19,Cambridge,United Kingdom,1,1958,Chemistry,,"for his work on the structure of proteins, especially that of insulin",214559,3346838,1
222,Frederick Sanger,Frederick Sanger,male,1918-08-13,Rendcombe,United Kingdom,2013-11-19,Cambridge,United Kingdom,2,1980,Chemistry,,for their contributions concerning the determination of base sequences in nucleic acids,880000,3654081,3
179,Frederick Soddy,Frederick Soddy,male,1877-09-02,Eastbourne,United Kingdom,1956-09-22,Brighton,United Kingdom,1,1921,Chemistry,,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",121573,3202773,1
474,Fredrik Bajer,Fredrik Bajer,male,1837-04-21,Næstved,Denmark,1922-01-22,Copenhagen,Denmark,1,1908,Peace,,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,8958535,2
487,Fridtjof Nansen,Fridtjof Nansen,male,1861-10-10,Kristiania,Norway,1930-05-13,Oslo,Norway,1,1922,Peace,,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",122483,3978181,1
190,Friedrich Bergius,Friedrich Bergius,male,1884-10-11,"Goldschmieden, near Breslau",Germany,1949-03-30,Buenos Aires,Argentina,1,1931,Chemistry,,in recognition of their contributions to the invention and development of chemical high pressure methods,173206,6623733,2
685,Friedrich August von Hayek,Friedrich von Hayek,male,1899-05-08,Vienna,Austria,1992-03-23,Freiburg,Germany,1,1974,Economic Sciences,,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",550000,4126741,2
508,,,,,,,,,,1,1947,Peace,,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",146115,3685518,1
60,Frits Zernike,Frits Zernike,male,1888-07-16,Amsterdam,the Netherlands,1966-03-10,Groningen,the Netherlands,1,1953,Physics,,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",175293,3247029,1
